Player:,Team:,Cost:,Tier(s):,Record:,Week 1:,Week 2:,Week 3:,Week 4:,Week 5:,Week 6:,Week 7:,Week 8:,Week 9:,Semis:,Final:,SORTER
Diegolh,Tigers,3000,RBY OU,3 - 6 - 0,W vs GGFan (RBY OU),L vs Peasounay (RBY OU),W vs The Idiot Ninja (RBY OU),L vs MetalGro$$ (RBY OU),W vs Earthworm (RBY OU),L vs marcoasd (RBY OU),L vs roudolf13 (RBY OU),L vs Lusch (RBY OU),L vs Alexander. (RBY OU),,,294.03
The Goomy,Tyrants,3000,SM OU / SM NU,2 - 0 - 0,,,,,,,,W vs Snou (SM OU),W vs The Idiot Ninja (SM NU),,,200.03
Arifeen,Sharks,5500,SM RU,2 - 1 - 0,L vs Eternal Spirit (SM RU),,,,,,,W vs -Tsunami- (SM RU),W vs Chill Shadow (SM RU),,,199.055
Rodriblutar,Classiest / Wolfpack,4000,SM NU / ORAS OU,2 - 1 - 0,,,,,,W vs Teddeh (SM NU),,W vs Kushalos (SM NU),L vs psychicmewtwo (ORAS OU),,,199.04
Shoka,Classiest,3000,BW OU,2 - 2 - 0,,,,,W vs Funkasaurus (BW OU),W vs elodin (BW OU),L vs SoulWind (BW OU),L vs McMeghan (BW OU),,,,198.03
Arii Stella,Cryonicles,3000,BW OU / RBY OU,2 - 2 - 0,,,,,,W vs ZoroDark (BW OU),L vs BKC (BW OU),L vs dice (BW OU),W vs marcoasd (RBY OU),,,198.03
bluri,Sharks,3000,BW OU,2 - 2 - 0,L vs McMeghan (BW OU),W vs LuckOverSkill (BW OU),L vs Funkasaurus (BW OU),W vs Posho (BW OU),,,,,,,,198.03
PokeTCG gamer1288,Wolfpack,3000,SM UU / SM RU,2 - 2 - 0,,,,W vs HT (SM UU),,,L vs Sacri' (SM UU),W vs Manipulative (SM UU),L vs J0RIS (SM RU),,,198.03
Get this Money,Tyrants,10000,ORAS OU,2 - 3 - 0,L vs Znain (ORAS OU),L vs xray (ORAS OU),W vs Hiye (ORAS OU),W vs Mounts (ORAS OU),L vs Nintendi (ORAS OU),,,,,,,197.1
Obliviate,Scooters,7500,SM OU / ADV OU,2 - 3 - 0,W vs Snou (SM OU),L vs Trosko (SM OU),L vs Gondra (SM OU),L vs z0mOG (SM OU),,,,,W vs k3nan (ADV OU),,,197.075
Leftiez,Scooters,6000,SM OU,2 - 3 - 0,,,,,W vs Lednah (SM OU),L vs Sabella (SM OU),L vs Eo Ut Mortus (SM OU),L vs Kory2600 (SM OU),W vs azogue (SM OU),,,197.06
Funkasaurus,Cryonicles,5000,BW OU,2 - 3 - 0,L vs elodin (BW OU),W vs McMeghan (BW OU),W vs bluri (BW OU),L vs SoulWind (BW OU),L vs Shoka (BW OU),,,,,,,197.05
LuckOverSkill,Classiest,3000,BW OU,2 - 3 - 0,L vs dice (BW OU),L vs bluri (BW OU),W vs Posho (BW OU),W vs ZoroDark (BW OU),,,,,L vs BKC (BW OU),,,197.03
danilo,Cryonicles,3000,ADV OU,2 - 3 - 0,W vs Ojama (ADV OU),L vs CALLOUS (ADV OU),W vs Kevin Garrett (ADV OU),L vs Astamatitos (ADV OU),L vs thelinearcurve (ADV OU),,,,,,,197.03
Century Express,Tigers,3000,GSC OU,2 - 3 - 0,,,,,W vs Lavos (GSC OU),W vs Mr.E (GSC OU),L vs Tiba (GSC OU),L vs Jimmy Turtwig (GSC OU),L vs giara (GSC OU),,,197.03
Ajna,Classiest,14500,SM RU,2 - 4 - 0,W vs SilentVerse (SM RU),W vs Tricking (SM RU),L vs Windsong (SM RU),L vs Chill Shadow (SM RU),L vs Nat (SM RU),L vs Feliburn (SM RU),,,,,,196.145
boudouche,Scooters,9000,DPP OU,2 - 4 - 0,W vs aim (DPP OU),L vs Void (DPP OU),,,L vs ToF (DPP OU),W vs NightFox (DPP OU),L vs d0nut (DPP OU),L vs We Three Kings (DPP OU),,,,196.09
Honor,BIGs,7000,DPP OU,2 - 4 - 0,W vs roscoe (DPP OU),L vs Bluewind (DPP OU),L vs NightFox (DPP OU),W vs Deluks917 (DPP OU),L vs We Three Kings (DPP OU),L vs Tamahome (DPP OU),,,,,,196.07
Earth,Wolfpack,3000,SM NU,2 - 4 - 0,W vs snagaa (SM NU),L vs Eternally (SM NU),L vs Hootie (SM NU),L vs ict (SM NU),W vs Zukushiku (SM NU),,L vs Pohjis (SM NU),,,,,196.03
aim,Cryonicles,22000,DPP OU / SM OU,2 - 5 - 0,L vs boudouche (DPP OU),L vs Tamahome (DPP OU),W vs ToF (DPP OU),W vs Void (DPP OU),L vs Blackoblivion (SM OU),,L vs Gondra (SM OU),L vs Bluewind (DPP OU),,,,195.22
Feliburn,Scooters,3000,SM RU,2 - 5 - 0,L vs New Breed (SM RU),L vs soulgazer (SM RU),,,L vs Tricking (SM RU),W vs Ajna (SM RU),L vs Windsong (SM RU),L vs Chill Shadow (SM RU),W vs lighthouses (SM RU),,,195.03
Sabella,Classiest,18000,SM OU,2 - 6 - 0,L vs psychicmewtwo (SM OU),L vs BHARATH_THEBEST (SM OU),L vs Eo Ut Mortus (SM OU),L vs Cdumas (SM OU),W vs CrashinBoomBang (SM OU),W vs Leftiez (SM OU),L vs Trosko (SM OU),L vs Eternal Spirit (SM OU),,,,194.18
k3nan,Tigers,6000,GSC OU / ADV OU,2 - 6 - 0,L vs Pleasure (GSC OU),W vs sulcata (GSC OU),L vs Fear (GSC OU),L vs choolio (GSC OU),,L vs Triangles (ADV OU),L vs undisputed (ADV OU),W vs thelinearcurve (ADV OU),L vs Obliviate (ADV OU),,,194.06
Jhon,BIGs,11000,SM DOU,2 - 7 - 0,W vs Braverius (SM DOU),L vs stax (SM DOU),L vs EmbCPT (SM DOU),L vs Demantoid (SM DOU),L vs Croven (SM DOU),L vs MajorBowman (SM DOU),L vs miltankmilk (SM DOU),L vs marilli (SM DOU),W vs Biosci (SM DOU),,,193.11
qsns,Ruiners,3000,SM DOU,1 - 0 - 0,,,,,,,,,W vs Demantoid (SM DOU),,,100.03
J0RIS,Tyrants,3000,SM RU,1 - 0 - 0,,,,,,,,,W vs PokeTCG gamer1288 (SM RU),,,100.03
njnp,Scooters / Cryonicles,4000,SM RU,1 - 1 - 0,,,W vs -Tsunami- (SM RU),L vs SilentVerse (SM RU),,,,,,,,99.04
Heroic Troller,Classiest,3500,RBY OU,1 - 1 - 0,,,,,,L vs Alexander. (RBY OU),W vs The Idiot Ninja (RBY OU),,,,,99.035
Z+V,Classiest,3000,SM NU / SM OU,1 - 1 - 0,,,,,L vs ict (SM NU),,,,W vs R!cardo (SM OU),,,99.03
Tman,Cryonicles,3000,SM DOU / SM UU,1 - 1 - 0,,,,,,,L vs Kaori (SM DOU),,W vs Manipulative (SM UU),,,99.03
JabbaTheGriffin,Tyrants,3000,RBY OU / BW OU,1 - 1 - 0,,,W vs ZoroDark (RBY OU),,,,,,L vs SoulWind (BW OU),,,99.03
Nails,Wolfpack,3000,DPP OU / RBY OU,1 - 1 - 0,,,,,,L vs ToF (DPP OU),,,W vs Tobes (RBY OU),,,99.03
Bouff,Classiest,3000,SM RU,1 - 2 - 0,,,,,,,L vs soulgazer (SM RU),W vs lighthouses (SM RU),L vs mael (SM RU),,,98.03
Sweepage,Cryonicles,3000,DPP OU,1 - 2 - 0,,,,,L vs NightFox (DPP OU),W vs We Three Kings (DPP OU),L vs roscoe (DPP OU),,,,,98.03
nihilillie,Sharks,3000,ORAS OU,1 - 2 - 0,,,,,L vs Mounts (ORAS OU),,,W vs R!cardo (SM OU),L vs Kory2600 (SM OU),,,98.03
Deluks917,Sharks,3000,ADV OU / DPP OU / BW OU,1 - 2 - 0,,,,L vs Honor (DPP OU),W vs Go10 (BW OU),,L vs UD (ADV OU),,,,,98.03
Evan.,Tigers,3000,SM NU,1 - 2 - 0,,,,,W vs cb jose altuve (SM NU),L vs Kushalos (SM NU),L vs lax (SM NU),,,,,98.03
